datetime,open,high,low,close,volume
2007-05-28,724.5,874.5,700.0,708.0,844658
2007-05-29,710.0,724.5,689.0,697.5,975098
2007-05-30,688.5,695.0,677.5,692.5,939816
2007-05-31,699.0,725.0,698.0,724.0,820051
2007-06-01,725.0,732.5,719.0,726.0,682447
2007-06-04,725.0,725.0,704.5,714.5,467863
2007-06-05,715.0,722.5,709.5,714.0,375534
2007-06-06,714.5,717.5,699.0,710.0,418632
2007-06-07,707.5,711.0,704.0,705.0,208272
2007-06-08,701.0,718.0,700.0,714.5,672945
2007-06-09,715.0,719.5,712.0,713.0,149019
2007-06-13,712.0,716.5,707.5,716.0,138072
2007-06-14,719.0,734.0,716.5,733.0,722310
2007-06-15,734.5,737.5,720.0,722.5,990701
2007-06-18,727.5,729.0,718.5,723.0,260809
2007-06-19,721.5,723.0,717.0,718.0,239749
2007-06-20,722.0,729.5,718.0,726.0,410777
2007-06-21,725.0,725.0,717.5,719.0,225203
2007-06-22,719.5,722.5,713.0,715.5,269064
2007-06-25,713.5,714.0,706.0,710.0,235957
2007-06-26,709.5,715.0,706.0,710.5,270935
2007-06-27,709.5,711.0,700.5,704.5,458534
2007-06-28,709.5,710.0,703.5,706.5,222233
2007-06-29,706.0,708.5,699.5,704.5,241955
2007-07-02,704.5,706.0,698.5,700.0,409360
2007-07-03,701.0,704.5,696.0,702.0,1216203
2007-07-04,701.5,702.5,695.5,699.0,1122944
2007-07-05,700.0,701.5,697.0,700.5,311109
2007-07-06,699.5,705.5,697.5,701.0,487990
2007-07-09,702.5,707.0,699.5,706.0,423256
2007-07-10,704.5,704.5,697.0,700.0,648127
2007-07-11,697.0,701.0,695.5,698.0,535288
2007-07-12,700.0,705.0,698.5,705.0,645329
2007-07-13,706.5,708.5,700.0,703.5,551074
2007-07-16,702.0,702.5,697.0,702.0,384312
2007-07-17,700.0,700.5,693.0,699.0,314953
2007-07-18,697.5,697.5,691.0,693.0,649911
2007-07-19,693.0,700.0,692.5,700.0,993273
2007-07-20,700.0,703.0,694.0,698.0,410145
2007-07-23,697.0,703.0,695.0,701.5,517949
2007-07-24,700.0,703.0,695.0,703.0,648954
2007-07-25,698.5,703.0,694.5,702.0,319277
2007-07-26,702.0,702.5,686.5,687.5,665843
2007-07-27,684.5,687.5,680.0,682.0,448411
2007-07-30,682.0,687.0,674.0,676.0,1001930
2007-07-31,680.0,685.0,678.5,683.5,435860
2007-08-01,679.5,681.0,669.0,680.5,1184103
2007-08-02,681.0,683.0,677.5,680.0,842223
2007-08-03,682.0,687.5,678.5,684.5,510896
2007-08-06,680.0,680.5,672.0,677.5,1335881
2007-08-07,679.5,679.5,665.5,667.0,1101389
2007-08-08,670.5,673.0,665.5,670.5,1540929
2007-08-09,672.5,673.0,656.0,662.5,1403010
2007-08-10,654.5,657.0,633.0,638.5,1006478
2007-08-13,644.0,645.0,636.0,640.5,741423
2007-08-14,639.5,639.5,629.0,630.0,424665
2007-08-15,621.5,624.0,612.5,613.0,726301
2007-08-16,601.5,607.5,576.5,592.0,2087927
2007-08-17,587.0,596.5,562.5,590.0,2677524
2007-08-20,594.5,599.0,570.0,581.0,2113007
2007-08-21,582.0,582.0,562.5,577.5,1623613
2007-08-22,574.0,602.0,569.0,597.5,2971983
2007-08-23,605.0,616.5,593.0,605.0,3801481
2007-08-24,597.5,604.5,591.0,598.5,1763348
2007-08-27,605.0,609.5,600.5,602.0,1013756
2007-08-28,600.5,602.5,590.5,594.0,730621
